model,feature_set,target,file,pipeline_contains_preprocessing,n_features,n_train,n_test,best_params,validation_split_used,r2_train,mae_train,mse_train,rmse_train,bias_train,ioa_train,ios_train,p20_train,ad_stat_train,r2_test,mae_test,mse_test,rmse_test,bias_test,ioa_test,ios_test,p20_test,ad_stat_test,cv_r2_mean,cv_r2_std,cv_r2_min,cv_r2_max,cv_mode,cv_folds,cv_repeats,train_cv_gap,cv_test_gap,abs_train_cv_gap,abs_cv_test_gap,possible_overfitting,possible_underfitting,high_cv_instability,holdout_sensitive,stable_generalization,generalization_diagnosis,rank_cv_r2,rank_cv_stability,rank_train_cv_gap,selection_rank_score,Selection Rank,rank_test_r2,rank_test_rmse,rank_test_mae,test_rank_score,Test Performance Rank
DT,fs3,AC,DT_fs3_AC.pkl,True,6,257,75,"{""splitter"": ""best"", ""min_samples_split"": 8, ""min_samples_leaf"": 4, ""max_features"": null, ""max_depth"": 6, ""criterion"": ""friedman_mse"", ""ccp_alpha"": 0.005}",False,0.8091148209672959,0.14764982152184905,0.03730517268123422,0.19314547025813011,5.875110169222618e-17,0.9452269790650479,0.5630959155229788,67.31517509727627,2.985131682295446,0.5001258544643864,0.15497195989856768,0.040184164868470165,0.2004598834392312,0.02126932134218536,0.8649458515066635,0.29298221695942206,54.666666666666664,1.9607773068424166,0.6096726017537303,0.1827677520778435,0.3762874930121203,0.8781411512397643,group,5,1,0.19944221921356564,0.10954674728934388,0.19944221921356564,0.10954674728934388,False,False,False,False,False,Moderate generalization,2.0,2.0,3.0,2.2,1,16.0,16.0,20.0,16.8,16
DT,fs2,AC,DT_fs2_AC.pkl,True,5,257,75,"{""splitter"": ""best"", ""min_samples_split"": 12, ""min_samples_leaf"": 6, ""max_features"": null, ""max_depth"": 5, ""criterion"": ""friedman_mse"", ""ccp_alpha"": 0.001}",False,0.8755472795924404,0.11494371966037924,0.024322109495247626,0.1559554727967173,6.566299600895868e-17,0.9659821273380393,0.6472214286445963,75.4863813229572,2.7871401449023665,0.6690719055920569,0.12319263351934753,0.02660283438153939,0.16310375342566275,0.08688035820365089,0.9109567341934917,0.4247365000211266,66.66666666666666,1.6249304959182638,0.6143072642188742,0.32493961873197746,0.08226304242524463,0.9496047649323724,group,5,1,0.2612400153735662,-0.05476464137318271,0.2612400153735662,0.05476464137318271,True,False,True,False,False,Overfitting with high CV instability,1.0,25.0,6.0,6.8,2,7.0,7.0,6.0,6.8,7
GBR,fs3,AC,GBR_fs3_AC.pkl,True,6,257,75,"{""subsample"": 0.75, ""n_estimators"": 200, ""min_samples_split"": 4, ""min_samples_leaf"": 4, ""max_depth"": 3, ""loss"": ""squared_error"", ""learning_rate"": 0.01}",False,0.8685510219504822,0.12640556657222093,0.025689405797549535,0.16027914960327663,0.00014439699970920944,0.9570565337014166,0.637441069549352,72.37354085603113,2.054118656378364,0.7104672224916021,0.1282778123988274,0.023275124289048953,0.15256187036428517,0.07712515413976448,0.9012299371868445,0.4619174993475462,58.666666666666664,0.755486924382609,0.5676845186751759,0.18731810487505712,0.3022196800281657,0.7892498742637816,group,5,1,0.3008665032753063,-0.14278270381642622,0.3008665032753063,0.14278270381642622,True,False,False,False,False,Possible overfitting,6.0,5.0,12.0,7.0,3,6.0,6.0,9.0,6.6,6
GBR,fs2,AC,GBR_fs2_AC.pkl,True,5,257,75,"{""subsample"": 0.9, ""n_estimators"": 200, ""min_samples_split"": 4, ""min_samples_leaf"": 6, ""max_depth"": 2, ""loss"": ""squared_error"", ""learning_rate"": 0.05}",False,0.9147646661877935,0.09729217250056682,0.016657756576597443,0.12906493162977092,8.662568544543747e-05,0.9763302197846534,0.7080490900644314,82.87937743190662,1.9743392979512464,0.7561418166034521,0.10972087770354222,0.019603409245406475,0.14001217534702642,0.04653068398755148,0.9287409035400008,0.5061800091161276,77.33333333333333,0.8484466112267057,0.5811046877481046,0.2080845686737585,0.3832033368365929,0.8389814971497793,group,5,1,0.33365997843968886,-0.1750371288553475,0.33365997843968886,0.1750371288553475,True,False,True,False,False,Overfitting with high CV instability,4.0,8.0,19.0,7.800000000000001,4,2.0,2.0,2.0,2.0,2
XGB,fs2,AC,XGB_fs2_AC.pkl,True,5,257,75,"{""subsample"": 0.8, ""reg_lambda"": 1.0, ""reg_alpha"": 0.1, ""n_estimators"": 200, ""min_child_weight"": 1, ""max_depth"": 4, ""learning_rate"": 0.05, ""gamma"": 0.0, ""colsample_bytree"": 1.0}",False,0.983018512955429,0.042554293979148776,0.00331873490541311,0.057608462099010334,-0.00013337881949125916,0.9956027053096763,0.8696869651778032,98.0544747081712,1.9283407990889145,0.7359568477021046,0.11514224204940632,0.021226049914944582,0.1456916260975372,0.07175201394615763,0.9270665637538515,0.48614870604629645,70.66666666666667,0.5709465954333695,0.6082511519782425,0.238230510712516,0.30794054841291907,0.9134125991457756,group,5,1,0.37476736097718644,-0.12770569572386203,0.37476736097718644,0.12770569572386203,True,False,True,False,False,Overfitting with high CV instability,3.0,13.0,25.0,9.4,5,4.0,4.0,4.0,4.0,4
RF,fs2,AC,RF_fs2_AC.pkl,True,5,257,75,"{""n_estimators"": 400, ""min_samples_split"": 12, ""min_samples_leaf"": 2, ""max_features"": 0.75, ""max_depth"": 5}",False,0.899762151979558,0.10521648915491802,0.019589735822063158,0.1399633374211374,-0.0020662427125404874,0.9704751958152349,0.6833963865960433,84.43579766536965,3.4383356354579746,0.7623663726667327,0.10955210590382786,0.01910302612034629,0.13821369729641955,0.07209924521709164,0.9330865322882806,0.5125232032873079,70.66666666666667,0.8773716757225714,0.5536282982700518,0.23454238125316415,0.25589708777481457,0.8440710266391952,group,5,1,0.3461338537095062,-0.2087380743966809,0.3461338537095062,0.2087380743966809,True,False,True,True,False,Overfitting with high CV instability,7.0,12.0,22.0,11.0,6,1.0,1.0,1.0,1.0,1
XGB,fs3,AC,XGB_fs3_AC.pkl,True,6,257,75,"{""subsample"": 0.8, ""reg_lambda"": 1.0, ""reg_alpha"": 0.1, ""n_estimators"": 200, ""min_child_weight"": 1, ""max_depth"": 4, ""learning_rate"": 0.05, ""gamma"": 0.0, ""colsample_bytree"": 1.0}",False,0.9836010498552779,0.040918925315708975,0.003204888247688399,0.05661173242083657,0.0002804675934939822,0.995737535589086,0.8719416143131496,97.27626459143968,2.6703050806157194,0.7222885055515273,0.11767297507737304,0.022324828316193826,0.1494149534557831,0.07285616455930664,0.9215026491265986,0.47301660894438746,66.66666666666666,0.7077513546839214,0.5798696082550886,0.24473427962830657,0.35896329090659984,0.911727910063523,group,5,1,0.40373144160018926,-0.14241889729643875,0.40373144160018926,0.14241889729643875,True,False,True,False,False,Overfitting with high CV instability,5.0,14.0,29.0,11.600000000000001,7,5.0,5.0,5.0,5.0,5
RF,fs3,AC,RF_fs3_AC.pkl,True,6,257,75,"{""n_estimators"": 400, ""min_samples_split"": 8, ""min_samples_leaf"": 4, ""max_features"": 0.75, ""max_depth"": 7}",False,0.9101706562399258,0.09264565291856217,0.017555575544381998,0.13249745486001607,-0.001940324270033851,0.9740090066897334,0.7002845620257871,84.8249027237354,4.123625400905837,0.7436470953440106,0.11228630834280118,0.02060784194823608,0.14355431706582733,0.06728626331277841,0.9214860264865227,0.4936869499450075,65.33333333333333,0.7013634738702308,0.5324271633391072,0.26962864224817823,0.16667507559810468,0.8634957037410443,group,5,1,0.37774349290081854,-0.2112199320049034,0.37774349290081854,0.2112199320049034,True,False,True,True,False,Overfitting with high CV instability,8.0,17.0,26.0,13.399999999999999,8,3.0,3.0,3.0,3.0,3
GBR,fs1,AC,GBR_fs1_AC.pkl,True,4,257,75,"{""subsample"": 0.75, ""n_estimators"": 300, ""min_samples_split"": 12, ""min_samples_leaf"": 8, ""max_depth"": 1, ""loss"": ""squared_error"", ""learning_rate"": 0.05}",False,0.767815802587561,0.15057325608098415,0.045376344157347204,0.21301723910835763,0.00034138951009898486,0.9247528399699758,0.5181450452548619,67.31517509727627,3.8263510662014824,0.527849241456542,0.13283762124669646,0.03795552159184802,0.19482176878328566,0.041588235170980745,0.850884740944357,0.31286772849511857,66.66666666666666,2.763212340689961,0.456643396415595,0.2674604935689365,0.2288494532706674,0.7559031155382727,group,5,1,0.311172406171966,-0.07120584504094701,0.311172406171966,0.07120584504094701,True,False,True,False,False,Overfitting with high CV instability,12.0,16.0,15.0,13.399999999999999,8,15.0,15.0,10.0,14.0,14
XGB,fs4,AC,XGB_fs4_AC.pkl,True,4,257,75,"{""subsample"": 1.0, ""reg_lambda"": 1.0, ""reg_alpha"": 0.1, ""n_estimators"": 400, ""min_child_weight"": 1, ""max_depth"": 2, ""learning_rate"": 0.05, ""gamma"": 0.0, ""colsample_bytree"": 0.8}",False,0.922686978909172,0.0913038760356994,0.015109478991069826,0.12292062069103714,7.130167526992952e-05,0.9786549855639803,0.721947808692634,85.21400778210116,1.9987062911547469,0.556405918608309,0.14159901596626628,0.03565989131568578,0.18883826761460662,0.005416940634034025,0.8306830858590172,0.333971410980211,62.66666666666667,1.3362600575510868,0.4889021437012776,0.13335762721225583,0.31256984858367787,0.6409383449459787,group,5,1,0.43378483520789435,-0.06750377490703141,0.43378483520789435,0.06750377490703141,True,False,False,False,False,Possible overfitting,10.0,1.0,36.0,13.4,10,11.0,11.0,12.0,11.200000000000001,11
